subject,block,time,melID,trialID,prime,target,type,response,rt
c,invert,0.5132026055216556,1,47,1;2;3,1;2;3,2,2,1502.0859270734945
c,invert,10.234215330405277,1,23,1;2;3,3;2;1,1,1,1658.5359271703055
c,invert,20.11042358177656,1,21,1;2;3,3;2;1,1,1,1628.2188735494856
c,invert,29.96009461065114,1,43,1;2;3,1;2;3,2,2,1514.9202132888604
c,invert,39.69487263081828,2,42,3;2;1,3;2;1,2,2,1590.140858432278
c,invert,49.50300453725504,2,4,3;2;1,1;2;3,1,1,1509.2495549179148
c,invert,59.2318566282629,2,34,3;2;1,1;3;2,2,2,1845.1396075979574
c,invert,69.29503578532604,1,5,1;2;3,3;2;1,1,1,1502.4921722942963
c,invert,79.02182711166097,2,22,3;2;1,1;2;3,1,1,1502.4170497636078
c,invert,88.74250980786746,2,32,3;2;1,1;3;2,2,2,1650.3865893901093
c,invert,98.61319071719481,2,38,3;2;1,3;2;1,2,2,1500.9660176147008
c,invert,108.33014609513339,2,18,3;2;1,1;2;3,1,1,1501.8459725106368
c,invert,118.04824289819226,1,31,1;2;3,3;1;2,2,2,2283.413670709706
c,invert,128.54842742250185,1,39,1;2;3,1;2;3,2,2,1648.7145656719804
c,invert,138.4123411030596,1,29,1;2;3,3;1;2,2,2,1501.2289465375943
c,invert,148.12834541493794,2,2,3;2;1,1;2;3,1,1,1708.716330686002
c,invert,158.05342307196406,2,36,3;2;1,1;3;2,2,2,1678.802604918019
c,invert,167.9488619663316,1,1,1;2;3,3;2;1,1,1,1807.3511424736353
c,invert,177.9732450679876,2,12,3;2;1,1;2;3,1,1,1839.565952119301
c,invert,188.0294582497445,2,48,3;2;1,3;2;1,2,2,1719.236404824187
c,invert,197.96478138245584,2,14,3;2;1,1;2;3,1,1,1520.3848316596122
c,invert,207.70285020783194,2,10,3;2;1,1;2;3,1,1,1716.5753891313216
c,invert,217.63633575549466,1,3,1;2;3,3;2;1,1,1,1864.467618172057
c,invert,227.71612100712082,2,30,3;2;1,1;3;2,2,2,1704.7319182602223
